object-eng,verb-eng,subject-eng,past_simple-eng,past_participle-eng,subject_article-ger,subject_noun-ger,auxiliary-ger,object_article-ger,object_noun-ger,past_participle-ger,verb-ger,praeteritum-ger,phrase_simple-eng,phrase_participle-eng,phrase_praeteritum-ger,phrase_participle-ger,phrase-ger-cutoff_after_subject_noun,phrase_cutoff_after_auxiliary-ger,phrase-ger-cutoff_after_object_noun,phrase-empty,phrase-fre,phrase_cutoff_after_auxiliary-fre,subject_article-fre,subject_noun-fre,past_participle-fre,object_article-fre,object_noun-fre
horse,lead,knight,led,led,Der,Ritter,hat,das,Pferd,geführt,führen,führte,The knight led the horse,The knight has led the horse,Der Ritter führte das Pferd,Der Ritter hat das Pferd geführt,Der Ritter,Der Ritter hat,Der Ritter hat das Pferd,,Le chevalier a mené le cheval,Le chevalier a,Le,chevalier,mené,le,cheval
hospital,visit,father,visited,visited,Der,Vater,hat,das,Krankenhaus,besucht,besuchen,besuchte,The father visited the hospital,The father has visited the hospital,Der Vater besuchte das Krankenhaus,Der Vater hat das Krankenhaus besucht,Der Vater,Der Vater hat,Der Vater hat das Krankenhaus,,Le père a rendu visite à l'hôpital,Le père a,Le,père,rendu visite à,l',hôpital
house,paint,man,painted,painted,Der,Mann,hat,das,Haus,gestrichen,streichen,strich,The man painted the house,The man has painted the house,Der Mann strich das Haus,Der Mann hat das Haus gestrichen,Der Mann,Der Mann hat,Der Mann hat das Haus,,L'homme a peint la maison,L'homme a,L',homme,peint,la,maison
island,visit,politician,visited,visited,Der,Politiker,hat,die,Insel,besucht,besuchen,besuchte,The politician visited the island,The politician has visited the island,Der Politiker besuchte die Insel,Der Politiker hat die Insel besucht,Der Politiker,Der Politiker hat,Der Politiker hat die Insel,,Le politicien a visité l'île,Le politicien a,Le,politicien,visité,l',île
jewel,sell,shopkeeper,sold,sold,Der,Ladenbesitzer,hat,den,Schmuck,verkauft,verkaufen,verkaufte,The shopkeeper sold the jewel,The shopkeeper has sold the jewel,Der Ladenbesitzer verkaufte den Schmuck,Der Ladenbesitzer hat den Schmuck verkauft,Der Ladenbesitzer,Der Ladenbesitzer hat,Der Ladenbesitzer hat den Schmuck,,Le commerçant a vendu le bijou,Le commerçant a,Le,commerçant,vendu,le,bijou
kettle,fill,woman,filled,filled,Die,Frau,hat,den,Wasserkocher,gefüllt,füllen,füllte,The woman filled the kettle,The woman has filled the kettle,Die Frau füllte den Wasserkocher,Die Frau hat den Wasserkocher gefüllt,Die Frau,Die Frau hat,Die Frau hat den Wasserkocher,,La femme a rempli la bouilloire,La femme a,La,femme,rempli,la,bouilloire
key,use,man,used,used,Der,Mann,hat,den,Schlüssel,benutzt,benutzen,benutzte,The man used the key,The man has used the key,Der Mann benutzte den Schlüssel,Der Mann hat den Schlüssel benutzt,Der Mann,Der Mann hat,Der Mann hat den Schlüssel,,L'homme a utilisé la clé,L'homme a,L',homme,utilisé,la,clé
knife,get,man,got,got,Der,Mann,hat,das,Messer,bekommen,bekommen,bekam,The man got the knife,The man has got the knife,Der Mann bekam das Messer,Der Mann hat das Messer bekommen,Der Mann,Der Mann hat,Der Mann hat das Messer,,L'homme a pris le couteau,L'homme a,L',homme,pris,le,couteau
knot,tie,sailor,tied,tied,Der,Seemann,hat,den,Knoten,geknüpft,knüpfen,knüpfte,The sailor tied the knot,The sailor has tied the knot,Der Seemann knüpfte den Knoten,Der Seemann hat den Knoten geknüpft,Der Seemann,Der Seemann hat,Der Seemann hat den Knoten,,Le marin a fait le nœud,Le marin a,Le,marin,fait,le,nœud
leaf,rip,squirell,ripped,ripped,Das,Eichhörnchen,hat,das,Blatt,zerrissen,zerreißen,zerriss,The squirell ripped the leaf,The squirell has ripped the leaf,Das Eichhörnchen zerriss das Blatt,Das Eichhörnchen hat das Blatt zerrissen,Das Eichhörnchen,Das Eichhörnchen hat,Das Eichhörnchen hat das Blatt,,L'écureuil a déchiré la feuille,L'écureuil a,L',écureuil,déchiré,la,feuille
library,visit,person,visited,visited,Die,Person,hat,die,Bibliothek,besucht,besuchen,besuchte,The person visited the library,The person has visited the library,Die Person besuchte die Bibliothek,Die Person hat die Bibliothek besucht,Die Person,Die Person hat,Die Person hat die Bibliothek,,La personne a visité la bibliothèque,La personne a,La,personne,visité,la,bibliothèque
line,draw,professor,drew,drawn,Der,Professor,hat,die,Linie,gezogen,ziehen,zog,The professor drew the line,The professor has drawn the line,Der Professor zog die Linie,Der Professor hat die Linie gezogen,Der Professor,Der Professor hat,Der Professor hat die Linie,,Le professeur a tracé la ligne,Le professeur a,Le,professeur,tracé,la,ligne
lock,break,locksmith,broke,broken,Der,Schlosser,hat,das,Schloss,aufgebrochen,aufbrechen,brach,The locksmith broke the lock,The locksmith has broken the lock,Der Schlosser brach das Schloss auf,Der Schlosser hat das Schloss aufgebrochen,Der Schlosser,Der Schlosser hat,Der Schlosser hat das Schloss,,Le serrurier a cassé la serrure,Le serrurier a,Le,serrurier,cassé,la,serrure
map,draw,pirate,drew,drawn,Der,Pirat,hat,die,Karte,gezeichnet,zeichnen,zeichnete,The pirate drew the map,The pirate has drawn the map,Der Pirat zeichnete die Karte,Der Pirat hat die Karte gezeichnet,Der Pirat,Der Pirat hat,Der Pirat hat die Karte,,Le pirate a dessiné la carte,Le pirate a,Le,pirate,dessiné,la,carte
match,light,child,lit,lit,Das,Kind,hat,das,Streichholz,angezündet,anzünden,zündete,The child lit the match,The child has lit the match,Das Kind zündete das Streichholz an,Das Kind hat das Streichholz angezündet,Das Kind,Das Kind hat,Das Kind hat das Streichholz,,L'enfant a allumé l'allumette,L'enfant a,L',enfant,allumé,l',allumette
monkey,hug,zookeeper,hugged,hugged,Der,Tierpfleger,hat,den,Affen,umarmt,umarmen,umarmte,The zookeeper hugged the monkey,The zookeeper has hugged the monkey,Der Tierpfleger umarmte den Affen,Der Tierpfleger hat den Affen umarmt,Der Tierpfleger,Der Tierpfleger hat,Der Tierpfleger hat den Affen,,Le gardien du zoo a serré le singe dans ses bras,Le gardien du zoo a,Le,gardien du zoo,serré,le,singe dans ses bras
moon,see,person,saw,seen,Die,Person,hat,den,Mond,gesehen,sehen,sah,The person saw the moon,The person has seen the moon,Die Person sah den Mond,Die Person hat den Mond gesehen,Die Person,Die Person hat,Die Person hat den Mond,,La personne a vu la lune,La personne a,La,personne,vu,la,lune
needle,grab,seamstress,grabbed,grabbed,Die,Schneiderin,hat,die,Nadel,genommen,nehmen,nahm,The seamstress grabbed the needle,The seamstress has grabbed the needle,Die Schneiderin nahm die Nadel,Die Schneiderin hat die Nadel genommen,Die Schneiderin,Die Schneiderin hat,Die Schneiderin hat die Nadel,,La couturière a attrapé l'aiguille,La couturière a,La,couturière,attrapé,l',aiguille
net,throw,fisherman,threw,thrown,Der,Fischer,hat,das,Netz,ausgeworfen,auswerfen,warf,The fisherman threw the net,The fisherman has thrown the net,Der Fischer warf das Netz aus,Der Fischer hat das Netz ausgeworfen,Der Fischer,Der Fischer hat,Der Fischer hat das Netz,,Le pêcheur a jeté le filet,Le pêcheur a,Le,pêcheur,jeté,le,filet
nut,crack,squirell,cracked,cracked,Das,Eichhörnchen,hat,die,Nuss,geknackt,knacken,knackte,The squirell cracked the nut,The squirell has cracked the nut,Das Eichhörnchen knackte die Nuss,Das Eichhörnchen hat die Nuss geknackt,Das Eichhörnchen,Das Eichhörnchen hat,Das Eichhörnchen hat die Nuss,,L'écureuil a cassé la noix,L'écureuil a,L',écureuil,cassé,la,noix
orange,eat,monkey,ate,eaten,Der,Affe,hat,die,Orange,gegessen,essen,aß,The monkey ate the orange,The monkey has eaten the orange,Der Affe aß die Orange,Der Affe hat die Orange gegessen,Der Affe,Der Affe hat,Der Affe hat die Orange,,Le singe a mangé l'orange,Le singe a,Le,singe,mangé,l',orange
oven,preheat,chef,preheated,preheated,Der,Koch,hat,den,Ofen,vorgeheizt,vorheizen,heizte,The chef preheated the oven,The chef has preheated the oven,Der Koch heizte den Ofen vor,Der Koch hat den Ofen vorgeheizt,Der Koch,Der Koch hat,Der Koch hat den Ofen,,Le chef a préchauffé le four,Le chef a,Le,chef,préchauffé,le,four
parcel,steal,thief,stole,stolen,Der,Dieb,hat,das,Paket,gestohlen,stehlen,stahl,The thief stole the parcel,The thief has stolen the parcel,Der Dieb stahl das Paket,Der Dieb hat das Paket gestohlen,Der Dieb,Der Dieb hat,Der Dieb hat das Paket,,Le voleur a volé le colis,Le voleur a,Le,voleur,volé,le,colis
pen,sell,schoolmate,sold,sold,Der,Schulkamerad,hat,den,Stift,verkauft,verkaufen,verkaufte,The schoolmate sold the pen,The schoolmate has sold the pen,Der Schulkamerad verkaufte den Stift,Der Schulkamerad hat den Stift verkauft,Der Schulkamerad,Der Schulkamerad hat,Der Schulkamerad hat den Stift,,Le camarade de classe a vendu le stylo,Le camarade de classe a,Le,camarade de classe,vendu,le,stylo
pencil,break,secretary,broke,broken,Die,Sekretärin,hat,den,Bleistift,zerbrochen,zerbrechen,zerbrach,The secretary broke the pencil,The secretary has broken the pencil,Die Sekretärin zerbrach den Bleistift,Die Sekretärin hat den Bleistift zerbrochen,Die Sekretärin,Die Sekretärin hat,Die Sekretärin hat den Bleistift,,La secrétaire a cassé le crayon,La secrétaire a,La,secrétaire,cassé,le,crayon
picture,draw,child,drew,drawn,Das,Kind,hat,das,Bild,gemalt,malen,malte,The child drew the picture,The child has drawn the picture,Das Kind malte das Bild,Das Kind hat das Bild gemalt,Das Kind,Das Kind hat,Das Kind hat das Bild,,L'enfant a dessiné le tableau,L'enfant a,L',enfant,dessiné,le,tableau
pig,slaughter,farmer,slaughtered,slaughtered,Der,Bauer,hat,das,Schwein,geschlachtet,schlachten,schlachtete,The farmer slaughtered the pig,The farmer has slaughtered the pig,Der Bauer schlachtete das Schwein,Der Bauer hat das Schwein geschlachtet,Der Bauer,Der Bauer hat,Der Bauer hat das Schwein,,Le fermier a abattu le cochon,Le fermier a,Le,fermier,abattu,le,cochon
pin,buy,man,bought,bought,Der,Mann,hat,die,Nadel,gekauft,kaufen,kaufte,The man bought the pin,The man has bought the pin,Der Mann kaufte die Nadel,Der Mann hat die Nadel gekauft,Der Mann,Der Mann hat,Der Mann hat die Nadel,,L'homme a acheté l'épingle,L'homme a,L',homme,acheté,l',épingle
pipe,clean,plumber,cleaned,cleaned,Der,Klempner,hat,das,Rohr,gereinigt,reinigen,reinigte,The plumber cleaned the pipe,The plumber has cleaned the pipe,Der Klempner reinigte das Rohr,Der Klempner hat das Rohr gereinigt,Der Klempner,Der Klempner hat,Der Klempner hat das Rohr,,Le plombier a nettoyé le tuyau,Le plombier a,Le,plombier,nettoyé,le,tuyau
plane,fly,pilot,flew,flown,Der,Pilot,hat,das,Flugzeug,geflogen,fliegen,flog,The pilot flew the plane,The pilot has flown the plane,Der Pilot flog das Flugzeug,Der Pilot hat das Flugzeug geflogen,Der Pilot,Der Pilot hat,Der Pilot hat das Flugzeug,,Le pilote a piloté l'avion,Le pilote a,Le,pilote,piloté,l',avion
plate,wash,cook,washed,washed,Der,Koch,hat,den,Teller,gespült,spülen,spülte,The cook washed the plate,The cook has washed the plate,Der Koch spülte den Teller,Der Koch hat den Teller gespült,Der Koch,Der Koch hat,Der Koch hat den Teller,,Le cuisinier a lavé l'assiette,Le cuisinier a,Le,cuisinier,lavé,l',assiette
plough,pull,boy,pulled,pulled,Der,Junge,hat,den,Pflug,gezogen,ziehen,zog,The boy pulled the plough,The boy has pulled the plough,Der Junge zog den Pflug,Der Junge hat den Pflug gezogen,Der Junge,Der Junge hat,Der Junge hat den Pflug,,Le garçon a tiré la charrue,Le garçon a,Le,garçon,tiré,la,charrue
pocket,sew,tailor,sewed,sewn,Der,Schneider,hat,die,Tasche,genäht,nähen,nähte,The tailor sewed the pocket,The tailor has sewn the pocket,Der Schneider nähte die Tasche,Der Schneider hat die Tasche genäht,Der Schneider,Der Schneider hat,Der Schneider hat die Tasche,,Le tailleur a cousu la poche,Le tailleur a,Le,tailleur,cousu,la,poche
pot,drop,teenager,dropped,dropped,Der,Teenager,hat,den,Topf,fallen lassen,fallen lassen,ließ,The teenager dropped the pot,The teenager has dropped the pot,Der Teenager ließ den Topf fallen,Der Teenager hat den Topf fallen lassen,Der Teenager,Der Teenager hat,Der Teenager hat den Topf,,L'adolescent a fait tomber la casserole,L'adolescent a,L',adolescent,fait tomber,la,casserole
potato,cook,man,cooked,cooked,Der,Mann,hat,die,Kartoffel,gekocht,kochen,kochte,The man cooked the potato,The man has cooked the potato,Der Mann kochte die Kartoffel,Der Mann hat die Kartoffel gekocht,Der Mann,Der Mann hat,Der Mann hat die Kartoffel,,L'homme a cuit la pomme de terre,L'homme a,L',homme,cuit,la,pomme de terre
rail,build,construction worker,built,built,Der,Bauarbeiter,hat,die,Schiene,gebaut,bauen,baute,The construction worker built the rail,The construction worker has built the rail,Der Bauarbeiter baute die Schiene,Der Bauarbeiter hat die Schiene gebaut,Der Bauarbeiter,Der Bauarbeiter hat,Der Bauarbeiter hat die Schiene,,L'ouvrier du bâtiment a construit le rail,L'ouvrier du bâtiment a,L',ouvrier du bâtiment,construit,le,rail
rat,see,owl,saw,seen,Die,Eule,hat,die,Ratte,gesehen,sehen,sah,The owl saw the rat,The owl has seen the rat,Die Eule sah die Ratte,Die Eule hat die Ratte gesehen,Die Eule,Die Eule hat,Die Eule hat die Ratte,,La chouette a vu le rat,La chouette a,La,chouette,vu,le,rat
receipt,print,cashier,printed,printed,Der,Kassierer,hat,die,Quittung,ausgedruckt,ausdrucken,druckte,The cashier printed the receipt,The cashier has printed the receipt,Der Kassierer druckte die Quittung aus,Der Kassierer hat die Quittung ausgedruckt,Der Kassierer,Der Kassierer hat,Der Kassierer hat die Quittung,,Le caissier a imprimé le ticket de caisse,Le caissier a,Le,caissier,imprimé,le,ticket de caisse
ring,make,jeweler,made,made,Der,Juwelier,hat,den,Ring,hergestellt,herstellen,stellte,The jeweler made the ring,The jeweler has made the ring,Der Juwelier stellte den Ring her,Der Juwelier hat den Ring hergestellt,Der Juwelier,Der Juwelier hat,Der Juwelier hat den Ring,,Le bijoutier a fabriqué la bague,Le bijoutier a,Le,bijoutier,fabriqué,la,bague
rod,buy,fisherman,bought,bought,Der,Fischer,hat,die,Angel,gekauft,kaufen,kaufte,The fisherman bought the rod,The fisherman has bought the rod,Der Fischer kaufte die Angel,Der Fischer hat die Angel gekauft,Der Fischer,Der Fischer hat,Der Fischer hat die Angel,,Le pêcheur a acheté la canne à pêche,Le pêcheur a,Le,pêcheur,acheté,la,canne à pêche
roof,clean,man,cleaned,cleaned,Der,Mann,hat,das,Dach,gereinigt,reinigen,reinigte,The man cleaned the roof,The man has cleaned the roof,Der Mann reinigte das Dach,Der Mann hat das Dach gereinigt,Der Mann,Der Mann hat,Der Mann hat das Dach,,L'homme a nettoyé le toit,L'homme a,L',homme,nettoyé,le,toit
root,cut,botanist,cut,cut,Der,Botaniker,hat,die,Wurzel,abgeschnitten,abschneiden,schnitt,The botanist cut the root,The botanist has cut the root,Der Botaniker schnitt die Wurzel ab,Der Botaniker hat die Wurzel abgeschnitten,Der Botaniker,Der Botaniker hat,Der Botaniker hat die Wurzel,,Le botaniste a coupé la racine,Le botaniste a,Le,botaniste,coupé,la,racine
school,compliment,man,complimented,complimented,Der,Mann,hat,die,Schule,gelobt,loben,lobte,The man complimented the school,The man has complimented the school,Der Mann lobte die Schule,Der Mann hat die Schule gelobt,Der Mann,Der Mann hat,Der Mann hat die Schule,,L'homme a complimenté l'école,L'homme a,L',homme,complimenté,l',école
scissors,take,teacher,took,taken,Der,Lehrer,hat,die,Schere,genommen,nehmen,nahm,The teacher took the scissors,The teacher has taken the scissors,Der Lehrer nahm die Schere,Der Lehrer hat die Schere genommen,Der Lehrer,Der Lehrer hat,Der Lehrer hat die Schere,,Le professeur a pris les ciseaux,Le professeur a,Le,professeur,pris,les,ciseaux
screw,use,mechanic,used,used,Der,Mechaniker,hat,die,Schraube,benutzt,benutzen,benutzte,The mechanic used the screw,The mechanic has used the screw,Der Mechaniker benutzte die Schraube,Der Mechaniker hat die Schraube benutzt,Der Mechaniker,Der Mechaniker hat,Der Mechaniker hat die Schraube,,Le mécanicien a utilisé la vis,Le mécanicien a,Le,mécanicien,utilisé,la,vis
seed,plant,gardener,planted,planted,Der,Gärtner,hat,den,Samen,gepflanzt,pflanzen,pflanzte,The gardener planted the seed,The gardener has planted the seed,Der Gärtner pflanzte den Samen,Der Gärtner hat den Samen gepflanzt,Der Gärtner,Der Gärtner hat,Der Gärtner hat den Samen,,Le jardinier a planté la graine,Le jardinier a,Le,jardinier,planté,la,graine
sheep,shear,farmer,sheared,shorn,Der,Bauer,hat,die,Schafe,geschoren,scheren,"['schor', 'scherte']",The farmer sheared the sheep,The farmer has shorn the sheep,"Der Bauer ['schor', 'scherte'] die Schafe",Der Bauer hat die Schafe geschoren,Der Bauer,Der Bauer hat,Der Bauer hat die Schafe,,Le fermier a tondu le mouton,Le fermier a,Le,fermier,tondu,le,mouton
shelf,build,man,built,built,Der,Mann,hat,das,Regal,gebaut,bauen,baute,The man built the shelf,The man has built the shelf,Der Mann baute das Regal,Der Mann hat das Regal gebaut,Der Mann,Der Mann hat,Der Mann hat das Regal,,L'homme a construit l'étagère,L'homme a,L',homme,construit,l',étagère
ship,board,pirate,boarded,boarded,Der,Pirat,hat,das,Schiff,geentert,entern,enterte,The pirate boarded the ship,The pirate has boarded the ship,Der Pirat enterte das Schiff,Der Pirat hat das Schiff geentert,Der Pirat,Der Pirat hat,Der Pirat hat das Schiff,,Le pirate a abordé le navire,Le pirate a,Le,pirate,abordé,le,navire
shirt,iron,man,ironed,ironed,Der,Mann,hat,das,Hemd,gebügelt,bügeln,bügelte,The man ironed the shirt,The man has ironed the shirt,Der Mann bügelte das Hemd,Der Mann hat das Hemd gebügelt,Der Mann,Der Mann hat,Der Mann hat das Hemd,,L'homme a repassé la chemise,L'homme a,L',homme,repassé,la,chemise
shoe,throw,child,threw,thrown,Das,Kind,hat,den,Schuh,geworfen,werfen,warf,The child threw the shoe,The child has thrown the shoe,Das Kind warf den Schuh,Das Kind hat den Schuh geworfen,Das Kind,Das Kind hat,Das Kind hat den Schuh,,L'enfant a jeté la chaussure,L'enfant a,L',enfant,jeté,la,chaussure
skirt,sew,tailor,sewed,sewn,Der,Schneider,hat,den,Rock,genäht,nähen,nähte,The tailor sewed the skirt,The tailor has sewn the skirt,Der Schneider nähte den Rock,Der Schneider hat den Rock genäht,Der Schneider,Der Schneider hat,Der Schneider hat den Rock,,Le tailleur a cousu la jupe,Le tailleur a,Le,tailleur,cousu,la,jupe
snake,kill,bird,killed,killed,Der,Vogel,hat,die,Schlange,getötet,töten,tötete,The bird killed the snake,The bird has killed the snake,Der Vogel tötete die Schlange,Der Vogel hat die Schlange getötet,Der Vogel,Der Vogel hat,Der Vogel hat die Schlange,,L'oiseau a tué le serpent,L'oiseau a,L',oiseau,tué,le,serpent
spade,break,gardener,broke,broken,Der,Gärtner,hat,die,Schaufel,zerbrochen,zerbrechen,zerbrach,The gardener broke the spade,The gardener has broken the spade,Der Gärtner zerbrach die Schaufel,Der Gärtner hat die Schaufel zerbrochen,Der Gärtner,Der Gärtner hat,Der Gärtner hat die Schaufel,,Le jardinier a cassé la bêche,Le jardinier a,Le,jardinier,cassé,la,bêche
sponge,squeeze,woman,squeezed,squeezed,Die,Frau,hat,den,Schwamm,ausgedrückt,ausdrücken,drückte,The woman squeezed the sponge,The woman has squeezed the sponge,Die Frau drückte den Schwamm aus,Die Frau hat den Schwamm ausgedrückt,Die Frau,Die Frau hat,Die Frau hat den Schwamm,,La femme a pressé l'éponge,La femme a,La,femme,pressé,l',éponge
spoon,lick,kid,licked,licked,Das,Kind,hat,den,Löffel,abgeleckt,ablecken,leckte,The kid licked the spoon,The kid has licked the spoon,Das Kind leckte den Löffel ab,Das Kind hat den Löffel abgeleckt,Das Kind,Das Kind hat,Das Kind hat den Löffel,,L'enfant a léché la cuillère,L'enfant a,L',enfant,léché,la,cuillère
square,draw,mathematician,drew,drawn,Der,Mathematiker,hat,das,Quadrat,gezeichnet,zeichnen,zeichnete,The mathematician drew the square,The mathematician has drawn the square,Der Mathematiker zeichnete das Quadrat,Der Mathematiker hat das Quadrat gezeichnet,Der Mathematiker,Der Mathematiker hat,Der Mathematiker hat das Quadrat,,Le mathématicien a dessiné le carré,Le mathématicien a,Le,mathématicien,dessiné,le,carré
stamp,buy,collector,bought,bought,Der,Sammler,hat,die,Briefmarke,gekauft,kaufen,kaufte,The collector bought the stamp,The collector has bought the stamp,Der Sammler kaufte die Briefmarke,Der Sammler hat die Briefmarke gekauft,Der Sammler,Der Sammler hat,Der Sammler hat die Briefmarke,,Le collectionneur a acheté le timbre,Le collectionneur a,Le,collectionneur,acheté,le,timbre
star,hate,scientist,hated,hated,Der,Wissenschaftler,hat,den,Stern,gehasst,hassen,hasste,The scientist hated the star,The scientist has hated the star,Der Wissenschaftler hasste den Stern,Der Wissenschaftler hat den Stern gehasst,Der Wissenschaftler,Der Wissenschaftler hat,Der Wissenschaftler hat den Stern,,Le scientifique a détesté l'étoile,Le scientifique a,Le,scientifique,détesté,l',étoile
stick,throw,child,threw,thrown,Das,Kind,hat,den,Stock,geworfen,werfen,warf,The child threw the stick,The child has thrown the stick,Das Kind warf den Stock,Das Kind hat den Stock geworfen,Das Kind,Das Kind hat,Das Kind hat den Stock,,L'enfant a jeté le bâton,L'enfant a,L',enfant,jeté,le,bâton
street,build,mayor,built,built,Der,Bürgermeister,hat,die,Straße,gebaut,bauen,baute,The mayor built the street,The mayor has built the street,Der Bürgermeister baute die Straße,Der Bürgermeister hat die Straße gebaut,Der Bürgermeister,Der Bürgermeister hat,Der Bürgermeister hat die Straße,,Le maire a construit la rue,Le maire a,Le,maire,construit,la,rue
sun,see,woman,saw,seen,Die,Frau,hat,die,Sonne,gesehen,sehen,sah,The woman saw the sun,The woman has seen the sun,Die Frau sah die Sonne,Die Frau hat die Sonne gesehen,Die Frau,Die Frau hat,Die Frau hat die Sonne,,La femme a vu le soleil,La femme a,La,femme,vu,le,soleil
table,set,host,set,set,Der,Gastgeber,hat,den,Tisch,gedeckt,decken,deckte,The host set the table,The host has set the table,Der Gastgeber deckte den Tisch,Der Gastgeber hat den Tisch gedeckt,Der Gastgeber,Der Gastgeber hat,Der Gastgeber hat den Tisch,,L'hôte a mis la table,L'hôte a,L',hôte,mis,la,table
thread,rip,seamstress,ripped,ripped,Die,Schneiderin,hat,den,Faden,gerissen,reißen,riss,The seamstress ripped the thread,The seamstress has ripped the thread,Die Schneiderin riss den Faden,Die Schneiderin hat den Faden gerissen,Die Schneiderin,Die Schneiderin hat,Die Schneiderin hat den Faden,,La couturière a déchiré le fil,La couturière a,La,couturière,déchiré,le,fil
ticket,buy,traveller,bought,bought,Der,Reisende,hat,die,Fahrkarte,gekauft,kaufen,kaufte,The traveller bought the ticket,The traveller has bought the ticket,Der Reisende kaufte die Fahrkarte,Der Reisende hat die Fahrkarte gekauft,Der Reisende,Der Reisende hat,Der Reisende hat die Fahrkarte,,Le voyageur a acheté le billet,Le voyageur a,Le,voyageur,acheté,le,billet
town,choose,student,chose,chosen,Der,Student,hat,die,Stadt,ausgewählt,auswählen,wählte,The student chose the town,The student has chosen the town,Der Student wählte die Stadt aus,Der Student hat die Stadt ausgewählt,Der Student,Der Student hat,Der Student hat die Stadt,,L'étudiant a choisi la ville,L'étudiant a,L',étudiant,choisi,la,ville
train,board,passenger,boarded,boarded,Der,Passagier,hat,den,Zug,bestiegen,besteigen,bestieg,The passenger boarded the train,The passenger has boarded the train,Der Passagier bestieg den Zug,Der Passagier hat den Zug bestiegen,Der Passagier,Der Passagier hat,Der Passagier hat den Zug,,Le passager a pris le train,Le passager a,Le,passager,pris,le,train
tray,drop,waiter,dropped,dropped,Der,Kellner,hat,das,Tablett,fallen lassen,fallen lassen,ließ,The waiter dropped the tray,The waiter has dropped the tray,Der Kellner ließ das Tablett fallen,Der Kellner hat das Tablett fallen lassen,Der Kellner,Der Kellner hat,Der Kellner hat das Tablett,,Le serveur a fait tomber le plateau,Le serveur a,Le,serveur,fait tomber,le,plateau
tree,cut,lumberjack,cut,cut,Der,Holzfäller,hat,den,Baum,gefällt,gefallen,gefiel,The lumberjack cut the tree,The lumberjack has cut the tree,Der Holzfäller gefiel den Baum,Der Holzfäller hat den Baum gefällt,Der Holzfäller,Der Holzfäller hat,Der Holzfäller hat den Baum,,Le bûcheron a coupé l'arbre,Le bûcheron a,Le,bûcheron,coupé,l',arbre
trousers,rip,boy,ripped,ripped,Der,Junge,hat,die,Hose,zerrissen,zerreißen,zerriss,The boy ripped the trousers,The boy has ripped the trousers,Der Junge zerriss die Hose,Der Junge hat die Hose zerrissen,Der Junge,Der Junge hat,Der Junge hat die Hose,,Le garçon a déchiré le pantalon,Le garçon a,Le,garçon,déchiré,le,pantalon
umbrella,open,man,opened,opened,Der,Mann,hat,den,Regenschirm,aufgespannt,aufspannen,spannte,The man opened the umbrella,The man has opened the umbrella,Der Mann spannte den Regenschirm auf,Der Mann hat den Regenschirm aufgespannt,Der Mann,Der Mann hat,Der Mann hat den Regenschirm,,L'homme a ouvert le parapluie,L'homme a,L',homme,ouvert,le,parapluie
wall,punch,man,punched,punched,Der,Mann,hat,die,Wand,geschlagen,schlagen,schlug,The man punched the wall,The man has punched the wall,Der Mann schlug die Wand,Der Mann hat die Wand geschlagen,Der Mann,Der Mann hat,Der Mann hat die Wand,,L'homme a donné un coup de poing dans le mur,L'homme a,L',homme,donné un coup de poing dans,le,mur
watch,fix,mechanic,fixed,fixt,Der,Mechaniker,hat,die,Uhr,repariert,reparieren,reparierte,The mechanic fixed the watch,The mechanic has fixt the watch,Der Mechaniker reparierte die Uhr,Der Mechaniker hat die Uhr repariert,Der Mechaniker,Der Mechaniker hat,Der Mechaniker hat die Uhr,,Le mécanicien a réparé la montre,Le mécanicien a,Le,mécanicien,réparé,la,montre
whip,swing,man,swung,swung,Der,Mann,hat,die,Peitsche,geschwungen,schwingen,schwang,The man swung the whip,The man has swung the whip,Der Mann schwang die Peitsche,Der Mann hat die Peitsche geschwungen,Der Mann,Der Mann hat,Der Mann hat die Peitsche,,L'homme a fait claquer le fouet,L'homme a,L',homme,fait claquer,le,fouet
whistle,blow,coach,blew,blown,Der,Trainer,hat,die,Pfeife,geblasen,blasen,blies,The coach blew the whistle,The coach has blown the whistle,Der Trainer blies die Pfeife,Der Trainer hat die Pfeife geblasen,Der Trainer,Der Trainer hat,Der Trainer hat die Pfeife,,Le coach a soufflé dans le sifflet,Le coach a,Le,coach,soufflé dans,le,sifflet
window,close,woman,closed,closed,Die,Frau,hat,das,Fenster,geschlossen,schließen,schloss,The woman closed the window,The woman has closed the window,Die Frau schloss das Fenster,Die Frau hat das Fenster geschlossen,Die Frau,Die Frau hat,Die Frau hat das Fenster,,La femme a fermé la fenêtre,La femme a,La,femme,fermé,la,fenêtre
