,object-eng,object-jap,object-rus,object-tur,object-zho,phrase-eng,phrase-jap,phrase-rus,phrase-tur,phrase-zho,subject-eng,subject-jap,subject-rus,subject-tur,subject-zho,verb-eng,verb-jap,verb-rus,verb-tur,verb-zho
116,ring,指輪,кольцо,yüzüğü,戒指,the jeweler makes the ring,宝石商が指輪を作る,ювелир делает кольцо,kuyumcu yüzüğü yapar,珠宝匠制作戒指,the jeweler,宝石商,ювелир,kuyumcu,珠宝匠,makes,作る,делает,yapar,制作
117,rod,釣り竿,удочку,oltayı,钓竿,the fisherman buys the rod,漁師が釣り竿を買う,рыбак покупает удочку,balıkçı oltayı satın alır,渔夫购置钓竿,the fisherman,漁師,рыбак,balıkçı,渔夫,buys,買う,покупает,satın alır,购置
118,roof,屋根,крышу,çatıyı,屋顶,the man cleans the roof,男が屋根を掃除する,мужчина чистит крышу,adam çatıyı temizler,男子清理屋顶,the man,男,мужчина,adam,男子,cleans,掃除する,чистит,temizler,清理
119,root,根,корень,kökü,根茎,the botanist cuts the root,植物学者が根を切る,ботаник режет корень,botanikçi kökü keser,植物学家切割根茎,the botanist,植物学者,ботаник,botanikçi,植物学家,cuts,切る,режет,keser,切割
120,school,学校,школу,okulu,学校,the man compliments the school,男が学校を褒める,мужчина хвалит школу,adam okulu övür,男子称赞学校,the man,男,мужчина,adam,男子,compliments,褒める,хвалит,övür,称赞
121,scissors,ハサミ,ножницы,makası,剪刀,the teacher takes the scissors,教師がハサミを取る,учитель берет ножницы,öğretmen makası alır,教师拿起剪刀,the teacher,教師,учитель,öğretmen,教师,takes,取る,берет,alır,拿起
122,screw,ネジ,винт,vidayı,螺丝,the mechanic uses the screw,整備士がネジを使う,механик использует винт,tamirci vidayı kullanır,机械师拧螺丝,the mechanic,整備士,механик,mekanikçi,机械师,uses,使う,использует,llanır,拧
123,seed,種,семена,tohum,种子,the gardener plants the seed,庭師は種を蒔く,садовник сажает семена,bahçıvan tohum ekilir,园丁种种子,the gardener,庭師,садовник,bahçıvan,园丁,plants,蒔く,сажает,ekilir,种
124,sheep,羊,овец,koyunları,羊毛,the farmer shears the sheep,農夫は羊を刈る,фермер стрижет овец,çiftçi koyunları kırkılır,农夫剪羊毛,the farmer,農夫,фермер,çiftçi,农夫,shears,刈る,стрижет,kırkılır,剪
125,shelf,棚,полку,raf,书架,the man builds the shelf,男は棚を作る,мужчина строит полку,adam raf yapar,男人搭书架,the man,男,мужчина,adam,男人,builds,作る,строит,yapar,搭
126,ship,船に,корабль,gemiye,船只,the pirate boards the ship,海賊は船に上がる,пират поднимается на корабль,korsan gemiye çıkar,海盗登船只,the pirate,海賊,пират,korsan,海盗,boards,上がる,поднимается,çıkar,登
127,shirt,シャツにアイロン,рубашку,gömleği,衬衫,the man irons the shirt,男はシャツにアイロンをかける,мужчина гладит рубашку,adam gömleği ütüler,男人熨衬衫,the man,男,мужчина,adam,男人,irons,かける,гладит,ütüler,熨
128,shoe,靴,туфлю,ayakkabıyı,鞋子,the child throws the shoe,子供は靴を投げる,ребенок бросает туфлю,çocuk ayakkabıyı atar,孩童扔鞋子,the child,子供,ребенок,çocuk,孩童,throws,投げる,бросает,atar,扔
129,skirt,スカート,юбку,eteği,裙子,the tailor sews the skirt,仕立て屋はスカートを縫う,портной шьет юбку,terzi eteği diker,裁缝缝裙子,the tailor,仕立て屋,портной,terzi,裁缝,sews,縫う,шьет,diker,缝
130,snake,蛇,змею,yılanı,蛇,the bird kills the snake,鳥は蛇を殺す,птица убивает змею,kuş yılanı öldürür,鸟儿杀蛇,the bird,鳥,птица,kuş,鸟儿,kills,殺す,убивает,öldürür,杀
131,spade,鍬,лопату,küreği,锹柄,the gardener breaks the spade,庭師は鍬を折る,садовник ломает лопату,bahçıvan küreği kırar,园丁折锹柄,the gardener,庭師,садовник,bahçıvan,园丁,breaks,折る,ломает,kırar,折
132,sponge,スポンジ,губку,süngeri,海绵,the woman squeezes the sponge,女はスポンジを絞る,женщина выжимает губку,kadın süngeri sıkar,女人拧海绵,the woman,女,женщина,kadın,女人,squeezes,絞る,выжимает,sıkar,拧
133,spoon,スプーン,ложку,kaşığı,汤匙,the kid licks the spoon,子供がスプーンを舐める,ребенок облизывает ложку,çocuk kaşığı yalar,孩童舔舐汤匙,the kid,子供,ребенок,çocuk,孩童,licks,舐める,облизывает,yalar,舔舐
134,square,正方形,квадрат,kareyi,方格,the mathematician draws the square,数学者が正方形を描く,математик рисует квадрат,matematikçi kareyi çizer,数学家绘制方格,the mathematician,数学者,математик,matematikçi,数学家,draws,描く,рисует,çizer,绘制
135,stamp,切手,марку,pul,邮票,the collector buys the stamp,収集家が切手を買う,коллекционер покупает марку,koleksiyoncu pul satın alır,收藏家购入邮票,the collector,収集家,коллекционер,koleksiyoncu,收藏家,buys,買う,покупает,satın alır,购入
136,star,星,звезду,yıldızı,星辰,the scientist hates the star,科学者が星を憎む,ученый ненавидит звезду,bilim adamı yıldızı sevmez,科学家厌恶星辰,the scientist,科学者,ученый,bilim adamı,科学家,hates,憎む,ненавидит,sevmez,厌恶
137,stick,棒,палку,sopayı,木棍,the child throws the stick,子供が棒を投げる,ребенок бросает палку,çocuk sopayı atar,孩童抛掷木棍,the child,子供,ребенок,çocuk,孩童,throws,投げる,бросает,atar,抛掷
138,street,通り,улицу,caddeyi,街道,the mayor builds the street,市長が通りを作る,мэр строит улицу,belediye başkanı caddeyi inşa eder,市长修筑街道,the mayor,市長,мэр,belediye başkanı,市长,builds,作る,строит,inşa eder,修筑
139,sun,太陽,солнце,güneşi,朝阳,the woman sees the sun,女性が太陽を見る,женщина видит солнце,kadın güneşi görür,妇人凝望朝阳,the woman,女性,женщина,kadın,妇人,sees,見る,видит,görür,凝望
140,table,食卓,стол,masayı,餐桌,the host sets the table,主人は食卓を準備する,хозяин накрывает стол,ev sahibi masayı hazırlar,主人摆设餐桌,the host,主人,хозяин,ev sahibi,主人,sets,準備する,накрывает,hazırlar,摆设
141,thread,糸,нитку,ipliği,线头,the seamstress rips the thread,裁縫師は糸を切る,швея рвет нитку,terzi ipliği koparır,缝纫女拆解线头,the seamstress,裁縫師,швея,terzi,缝纫女,rips,切る,рвет,koparır,拆解
142,ticket,切符,билет,bilet,车票,the traveller buys the ticket,旅人は切符を買う,путешественник покупает билет,gezgin bilet satın alır,旅人购置车票,the traveller,旅人,путешественник,gezgin,旅人,buys,買う,покупает,satın alır,购置
143,town,町,город,şehri,城镇,the student chooses the town,学生は町を選ぶ,студент выбирает город,öğrenci şehri seçer,学生选择城镇,the student,学生,студент,öğrenci,学生,chooses,選ぶ,выбирает,seçer,选择
144,train,列車に,поезд,trene,列车,the passenger boards the train,乗客は列車に乗る,пассажир садится в поезд,yolcu trene biner,乘客登上列车,the passenger,乗客,пассажир,yolcu,乘客,boards,乗る,садится,biner,登上
145,tray,トレイ,поднос,tepsiyi,托盘,the waiter drops the tray,給仕はトレイを落とす,официант роняет поднос,garson tepsiyi düşürür,侍者打翻托盘,the waiter,給仕,официант,garson,侍者,drops,落とす,роняет,düşürür,打翻
146,tree,木,дерево,ağacı,树木,the lumberjack cuts the tree,木こりは木を切る,лесоруб рубит дерево,oduncu ağacı keser,伐木工砍伐树木,the lumberjack,木こり,лесоруб,oduncu,伐木工,cuts,切る,рубит,keser,砍伐
147,trousers,ズボン,брюки,pantolonunu,长裤,the boy rips the trousers,少年はズボンを破る,мальчик рвет брюки,oğlan pantolonunu yırtar,男孩撕裂长裤,the boy,少年,мальчик,oğlan,男孩,rips,破る,рвет,yırtar,撕裂
148,umbrella,傘,зонтик,şemsiyeyi,雨伞,the man opens the umbrella,男は傘を開く,мужчина открывает зонтик,adam şemsiyeyi açar,男人撑开雨伞,the man,男,мужчина,adam,男人,opens,開く,открывает,açar,撑开
149,wall,壁,стену,duvara,墙,the man punches the wall,男は壁を殴る,мужчина бьет стену,adam duvara yumruk atar,男人捶墙,the man,男,мужчина,adam,男人,punches,殴る,бьет,yumruk atar,捶
150,watch,時計,часы,saati,表,the mechanic fixes the watch,整備士は時計を直す,механик чинит часы,tamirci saati tamir eder,修理工修表,the mechanic,整備士,механик,tamirci,修理工,fixes,直す,чинит,tamir eder,修
151,whip,鞭,кнутом,kırbacı,鞭,the man swings the whip,男は鞭を振るう,мужчина размахивает кнутом,adam kırbacı sallarsa,男人挥鞭,the man,男,мужчина,adam,男人,swings,振るう,размахивает,sallarsa,挥
152,whistle,笛,свисток,düdüğü,哨,the coach blows the whistle,コーチは笛を吹く,тренер свистит в свисток,koç düdüğü çalar,教练吹哨,the coach,コーチ,тренер,koç,教练,blows,吹く,свистит,çalar,吹
153,window,窓,окно,pencereyi,窗,the woman closes the window,女は窓を閉める,женщина закрывает окно,kadın pencereyi kapatır,女人关窗,the woman,女,женщина,kadın,女人,closes,閉める,закрывает,kapatır,关
