adj-eng,adj-fre,adj-ger,adj-ita,adj-ned,adj-rus,adj-vie,adj-zho,noun-eng,noun-fre,noun-ger,noun-ita,noun-ned,noun-rus,noun-vie,noun-zho,phrase-eng,phrase-fre,phrase-ger,phrase-ita,phrase-ned,phrase-rus,phrase-vie,phrase-zho,phrase_complete-eng,phrase_complete-fre,phrase_complete-ger,phrase_complete-ita,phrase_complete-ned,phrase_complete-rus,phrase_complete-vie,phrase_complete-zho,phrase_prefix-eng,phrase_prefix-fre,phrase_prefix-ger,phrase_prefix-ita,phrase_prefix-ned,phrase_prefix-rus,phrase_prefix-vie,phrase_prefix-zho
round,ronde,runde,rotondo,ronde,круглые,tròn,圆形,clock,horloge,Uhr,orologio,klok,часы,đồng hồ,时钟,round clock,horloge ronde,runde Uhr,orologio rotondo,ronde klok,круглые часы,đồng hồ tròn,圆形时钟,I saw the round clock,J'ai vu l'horloge ronde,Ich sah die runde Uhr,Ho visto l'orologio rotondo,Ik zag de ronde klok,Я увидел круглые часы,Tôi đã thấy cái đồng hồ tròn,我看見了圆形时钟,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
white,blanc,weiße,bianca,witte,белое,trắng,白,cloud,nuage,Wolke,nuvola,wolk,облако,đám mây,云,white cloud,nuage blanc,weiße Wolke,nuvola bianca,witte wolk,белое облако,đám mây trắng,白云,I saw the white cloud,J'ai vu le nuage blanc,Ich sah die weiße Wolke,Ho visto la nuvola bianca,Ik zag de witte wolk,Я увидел белое облако,Tôi đã thấy đám mây trắng,我看見了白云,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
warm,chaud,warmen,caldo,warme,тёплое,ấm,暖和的,coat,manteau,Mantel,cappotto,jas,пальто,áo khoác,衣服,warm coat,manteau chaud,warmen Mantel,cappotto caldo,warme jas,теплое пальто,áo khoác ấm,暖和的衣服,I saw the warm coat,J'ai vu le manteau chaud,Ich sah den warmen Mantel,Ho visto il cappotto caldo,Ik zag de warme jas,Я увидел тёплое пальто,Tôi đã thấy cái áo khoác ấm,我看見了暖和的衣服,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
tight,serré,engen,stretto,strakke,тугой,chật,紧绷的,collar,collier,Kragen,colletto,kraag,воротник,cổ áo,领口,tight collar,collier serré,engen Kragen,colletto stretto,strakke kraag,тугой воротник,cổ áo chật,紧绷的领口,I saw the tight collar,J'ai vu le collier serré,Ich sah den engen Kragen,Ho visto il colletto stretto,Ik zag de strakke kraag,Я увидел тугой воротник,Tôi đã thấy cái cổ áo chật,我看見了紧绷的领口,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
plastic,en plastique,plastischen,di,plastic,пластиковый,nhựa,塑料,comb,peigne,Kamm,pettine,kam,гребень,lược,梳子,plastic comb,peigne en plastique,plastischen Kamm,pettine di plastica,plastic kam,пластиковый гребень,lược nhựa,塑料梳子,I saw the plastic comb,J'ai vu le peigne en plastique,Ich sah den plastischen Kamm,Ho visto il pettine di plastica,Ik zag de plastic kam,Я увидел пластиковый гребень,Tôi đã thấy cái lược nhựa,我看見了塑料梳子,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
black,noir,schwarze,nero,zwarte,чёрный,đen,黑,cord,cordon,Seil,cordone,koord,шнур,dây,绳子,black cord,cordon noir,schwarze Seil,cordone nero,zwarte koord,черный шнур,dây đen,黑绳子,I saw the black cord,J'ai vu le cordon noir,Ich sah das schwarze Seil,Ho visto il cordone nero,Ik zag het zwarte koord,Я увидел чёрный шнур,Tôi đã thấy sợi dây đen,我看見了黑绳子,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy sợi,我看見了
brown,brune,braune,marrone,bruine,коричневую,nâu,棕,cow,vache,Kuh,mucca,koe,корову,bò,牛,brown cow,vache brune,braune Kuh,mucca marrone,bruine koe,коричневая корова,bò nâu,棕牛,I saw the brown cow,J'ai vu la vache brune,Ich sah die braune Kuh,Ho visto la mucca marrone,Ik zag de bruine koe,Я увидел коричневую корову,Tôi đã thấy con bò nâu,我看見了棕牛,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
hot,chaude,heiße,calda,hete,горячую,nóng,熱,cup,tasse,Tasse,tazza,kop,чашку,ly,杯,hot cup,tasse chaude,heiße Tasse,tazza calda,hete kop,горячая чашка,ly nóng,熱杯,I saw the hot cup,J'ai vu la tasse chaude,Ich sah die heiße Tasse,Ho visto la tazza calda,Ik zag de hete kop,Я увидел горячую чашку,Tôi đã thấy cái ly nóng,我看見了熱杯,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
thick,épais,dicken,spessa,dikke,плотную,dày,厚,curtain,rideau,Vorhang,tenda,gordijn,занавеску,rèm,窗帘,thick curtain,rideau épais,dicken Vorhang,tenda spessa,dikke gordijn,плотная занавеска,rèm dày,厚窗帘,I saw the thick curtain,J'ai vu le rideau épais,Ich sah den dicken Vorhang,Ho visto la tenda spessa,Ik zag het dikke gordijn,Я увидел плотную занавеску,Tôi đã thấy tấm rèm dày,我看見了厚窗帘,I saw the,J'ai vu le,Ich sah den,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy tấm,我看見了
soft,doux,weiche,morbido,zachte,мягкую,mềm,软,cushion,coussin,Kissen,cuscino,kussen,подушку,gối,垫子,soft cushion,coussin doux,weiche Kissen,cuscino morbido,zachte kussen,мягкая подушка,gối mềm,软垫子,I saw the soft cushion,J'ai vu le coussin doux,Ich sah das weiche Kissen,Ho visto il cuscino morbido,Ik zag het zachte kussen,Я увидел мягкую подушку,Tôi đã thấy cái gối mềm,我看見了软垫子,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
loyal,fidèle,treuer,fedele,trouwe,верного,trung thành,忠,dog,chien,Hund,cane,hond,пса,chó,犬,loyal dog,chien fidèle,treuer Hund,cane fedele,trouwe hond,верный пес,chó trung thành,忠犬,I saw the loyal dog,J'ai vu le chien fidèle,Ich sah der treuer Hund,Ho visto il cane fedele,Ik zag de trouwe hond,Я увидел верного пса,Tôi đã thấy con chó trung thành,我看見了忠犬,I saw the,J'ai vu le,Ich sah der,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
open,ouverte,offene,aperta,open,открытую,mở,敞开的,door,porte,Tür,porta,deur,дверь,cửa,门,open door,porte ouverte,offene Tür,porta aperta,open deur,открытая дверь,cửa mở,敞开的门,I saw the open door,J'ai vu la porte ouverte,Ich sah die offene Tür,Ho visto la porta aperta,Ik zag de open deur,Я увидел открытую дверь,Tôi đã thấy cái cửa mở,我看見了敞开的门,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
clogged,bouché,verstopfte,intasato,verstopte,засорённый,bị tắc,堵塞的,drain,drain,Abflussrinne,scarico,afvoer,слив,thoát nước,排水管,clogged drain,drain bouché,verstopfte Abflussrinne,scarico intasato,verstopte afvoer,засоренный слив,thoát nước bị tắc,堵塞的排水管,I saw the clogged drain,J'ai vu le drain bouché,Ich sah die verstopfte Abflussrinne,Ho visto lo scarico intasato,Ik zag de verstopte afvoer,Я увидел засорённый слив,Tôi đã thấy cái thoát nước bị tắc,我看見了堵塞的排水管,I saw the,J'ai vu le,Ich sah die,Ho visto lo,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
open,ouvert,offene,aperto,open,открытый,mở,开启,drawer,tiroir,Schublade,cassetto,lade,ящик,ngăn kéo,抽屉,open drawer,tiroir ouvert,offene Schublade,cassetto aperto,open lade,открытый ящик,ngăn kéo mở,抽屉开启,I saw the open drawer,J'ai vu le tiroir ouvert,Ich sah die offene Schublade,Ho visto il cassetto aperto,Ik zag de open lade,Я увидел открытый ящик,Tôi đã thấy cái ngăn kéo mở,我看見了抽屉开启,I saw the,J'ai vu le,Ich sah die,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái ngăn kéo mở,我看見了
pretty,robe,hübsche,vestito,mooie,красивое,xinh xắn,漂亮,dress,jolie,Kleid,bel,jurk,платье,váy,裙子,pretty dress,jolie robe,hübsche Kleid,bel vestito,mooie jurk,красивое платье,váy xinh xắn,漂亮裙子,I saw the pretty dress,J'ai vu la jolie robe,Ich sah das hübsche Kleid,Ho visto il bel vestito,Ik zag de mooie jurk,Я увидел красивое платье,Tôi đã thấy chiếc váy xinh xắn,我看見了漂亮裙子,I saw the,J'ai vu la,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了
small,goutte,kleinen,goccia,kleine,небольшую,nhỏ,小,drop,petite,Tropfen,piccola,druppel,каплю,giọt,水滴,small drop,petite goutte,kleinen Tropfen,piccola goccia,kleine druppel,небольшая капля,giọt nhỏ,小水滴,I saw the small drop,J'ai vu la petite goutte,Ich sah den kleinen Tropfen,Ho visto la piccola goccia,Ik zag de kleine druppel,Я увидел небольшую каплю,Tôi đã thấy giọt nhỏ,我看見了小水滴,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
sensitive,sensible,empfindliche,sensibile,gevoelige,чувствительное,nhạy cảm,灵敏,ear,oreille,Ohr,orecchio,oor,ухо,tai,耳朵,sensitive ear,oreille sensible,empfindliche Ohr,orecchio sensibile,gevoelige oor,чувствительное ухо,tai nhạy cảm,灵敏耳朵,I saw the sensitive ear,J'ai vu l'oreille sensible,Ich sah das empfindliche Ohr,Ho visto l'orecchio sensibile,Ik zag het gevoelige oor,Я увидел чувствительное ухо,Tôi đã thấy cái tai nhạy cảm,我看見了灵敏耳朵,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
boiled,dur,gekochte,sodo,gekookte,варёное,luộc,水煮,egg,œuf,Ei,uovo,ei,яйцо,trứng,蛋,boiled egg,œuf dur,gekochte Ei,uovo sodo,gekookte ei,варёное яйцо,trứng luộc,水煮蛋,I saw the boiled egg,J'ai vu l'œuf dur,Ich sah das gekochte Ei,Ho visto l'uovo sodo,Ik zag het gekookte ei,Я увидел варёное яйцо,Tôi đã thấy quả trứng luộc,我看見了水煮蛋,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy quả,我看見了
powerful,puissant,leistungsstarken,potente,krachtige,мощный,mạnh mẽ,強勁,engine,moteur,Motor,motore,motor,двигатель,động cơ,引擎,powerful engine,moteur puissant,leistungsstarken Motor,motore potente,krachtige motor,мощный двигатель,động cơ mạnh mẽ,強勁引擎,I saw the powerful engine,J'ai vu le moteur puissant,Ich sah den leistungsstarken Motor,Ho visto il motore potente,Ik zag de krachtige motor,Я увидел мощный двигатель,Tôi đã thấy động cơ mạnh mẽ,我看見了強勁引擎,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
blue,bleu,blaue,blu,blauwe,голубой,xanh,藍,eye,œil,Auge,occhio,oog,глаза,mắt,眼睛,blue eye,œil bleu,blaue Auge,occhio blu,blauwe oog,голубой глаз,mắt xanh,藍眼睛,I saw the blue eye,J'ai vu l'œil bleu,Ich sah das blaue Auge,Ho visto l'occhio blu,Ik zag het blauwe oog,Я увидел голубой глаза,Tôi đã thấy đôi mắt xanh,我看見了藍眼睛,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy đôi,我看見了
happy,heureux,fröhliches,felice,blije,счастливое,vui vẻ,快乐的,face,visage,Gesicht,faccia,gezicht,лицо,khuôn mặt,脸庞,happy face,visage heureux,fröhliches Gesicht,faccia felice,blije gezicht,счастливое лицо,khuôn mặt vui vẻ,快乐的脸庞,I saw the happy face,J'ai vu le visage heureux,Ich sah das fröhliches Gesicht,Ho visto la faccia felice,Ik zag het blije gezicht,Я увидел счастливое лицо,Tôi đã thấy khuôn mặt vui vẻ,我看見了快乐的脸庞,I saw the,J'ai vu le,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
isolated,isolée,abgelegene,isolata,afgelegen,уединённую,biệt lập,孤立的,farm,ferme,Farm,fattoria,boerderij,ферму,nông trại,農場,isolated farm,ferme isolée,abgelegene Farm,fattoria isolata,afgelegen boerderij,уединённая ферма,nông trại biệt lập,孤立的農場,I saw the isolated farm,J'ai vu la ferme isolée,Ich sah die abgelegene Farm,Ho visto la fattoria isolata,Ik zag de afgelegen boerderij,Я увидел уединённую ферму,Tôi đã thấy nông trại biệt lập,我看見了孤立的農場,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy,我看見了
light,légère,leichte,leggera,lichte,лёгкое,nhẹ,轻盈的,feather,plume,Feder,piuma,veer,перо,lông vũ,羽毛,light feather,plume légère,leichte Feder,piuma leggera,lichte veer,легкое перо,lông vũ nhẹ,轻盈的羽毛,I saw the light feather,J'ai vu la plume légère,Ich sah die leichte Feder,Ho visto la piuma leggera,Ik zag de lichte veer,Я увидел лёгкое перо,Tôi đã thấy chiếc lông vũ nhẹ,我看見了轻盈的羽毛,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy chiếc,我看見了
long,long,langen,lungo,lange,длинный,dài,修长的,finger,doigt,Finger,dito,vinger,палец,ngón tay,手指,long finger,doigt long,langen Finger,dito lungo,lange vinger,длинный палец,ngón tay dài,修长的手指,I saw the long finger,J'ai vu le doigt long,Ich sah den langen Finger,Ho visto il dito lungo,Ik zag de lange vinger,Я увидел длинный палец,Tôi đã thấy ngón tay dài,我看見了修长的手指,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
fresh,frais,frischen,fresco,verse,свежую,tươi,新鲜的,fish,poisson,Fisch,pesce,vis,рыбу,cá,鱼,fresh fish,poisson frais,frischen Fisch,pesce fresco,verse vis,свежая рыба,cá tươi,新鲜的鱼,I saw the fresh fish,J'ai vu le poisson frais,Ich sah den frischen Fisch,Ho visto il pesce fresco,Ik zag de verse vis,Я увидел свежую рыбу,Tôi đã thấy con cá tươi,我看見了新鲜的鱼,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
national,national,nationale,nazionale,nationale,национальный,quốc gia,国,flag,drapeau,Flagge,bandiera,vlag,флаг,cờ,旗,national flag,drapeau national,nationale Flagge,bandiera nazionale,nationale vlag,национальный флаг,cờ quốc gia,国旗,I saw the national flag,J'ai vu le drapeau national,Ich sah die nationale Flagge,Ho visto la bandiera nazionale,Ik zag de nationale vlag,Я увидел национальный флаг,Tôi đã thấy lá cờ quốc gia,我看見了国旗,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy lá,我看見了
clean,propre,sauberen,pulito,schone,чистого,sạch sẽ,干净的,floor,sol,Boden,pavimento,vloer,пола,sàn nhà,地板,clean floor,sol propre,sauberen Boden,pavimento pulito,schone vloer,чистый пол,sàn nhà sạch sẽ,干净的地板,I saw the clean floor,J'ai vu le sol propre,Ich sah den sauberen Boden,Ho visto il pavimento pulito,Ik zag de schone vloer,Я увидел чистого пола,Tôi đã thấy sàn nhà sạch sẽ,我看見了干净的地板,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy,我看見了
fast,rapide,schnelle,veloce,snelle,быструю,nhanh,快,fly,mouche,Fliege,mosca,vlieg,муху,ruồi,蒼蠅,fast fly,mouche rapide,schnelle Fliege,mosca veloce,snelle vlieg,быстрая муха,ruồi nhanh,快蒼蠅,I saw the fast fly,J'ai vu la mouche rapide,Ich sah die schnelle Fliege,Ho visto la mosca veloce,Ik zag de snelle vlieg,Я увидел быструю муху,Tôi đã thấy con ruồi nhanh,我看見了快蒼蠅,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
bare,nu,bare,nudo,blote,босую,trần,赤,foot,pied,Fuß,piede,voet,ногу,chân,腳,bare foot,pied nu,bare Fuß,piede nudo,blote voet,босая нога,chân trần,赤腳,I saw the bare foot,J'ai vu les pied nu,Ich sah das bare Fuß,Ho visto il piede nudo,Ik zag de blote voet,Я увидел босую ногу,Tôi đã thấy đôi chân trần,我看見了赤腳,I saw the,J'ai vu les,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
metal,en métal,metallene,di,metalen,металлическую,kim loại,金属,fork,fourchette,Gabel,forchetta,vork,вилку,dĩa,叉子,metal fork,fourchette en métal,metallenen Gabel,forchetta di metallo,metalen vork,металлическая вилка,dĩa kim loại,金属叉子,I saw the metal fork,J'ai vu la fourchette en métal,Ich sah die metallene Gabel,Ho visto la forchetta di metallo,Ik zag de metalen vork,Я увидел металлическую вилку,Tôi đã thấy cái dĩa kim loại,我看見了金属叉子,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
wooden,en bois,hölzenen,in,houten,деревянную,gỗ,木製,frame,cadre,Rahmen,telaio,kader,раму,khung,框架,wooden frame,cadre en bois,hölzenen Rahmen,telaio in legno,houten kader,деревянная рама,khung gỗ,木製框架,I saw the wooden frame,J'ai vu le cadre en bois,Ich sah den hölzenen Rahmen,Ho visto il telaio in legno,Ik zag het houten kader,Я увидел деревянную раму,Tôi đã thấy cái khung gỗ,我看見了木製框架,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy cái,我看見了
green,vert,grünen,verde,groene,зелёный,xanh,绿意盎然的,garden,jardin,Garten,giardino,tuin,сад,vườn,花园,green garden,jardin vert,grünen Garten,giardino verde,groene tuin,зелёный сад,vườn xanh,绿意盎然的花园,I saw the green garden,J'ai vu le jardin vert,Ich sah den grünen Garten,Ho visto il giardino verde,Ik zag de groene tuin,Я увидел зелёный сад,Tôi đã thấy khu vườn xanh,我看見了绿意盎然的花园,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy khu,我看見了
happy,heureuse,fröhliche,felice,gelukkige,счастливую,vui vẻ,快乐的,girl,fille,Mädchen,ragazza,meisje,девушку,cô gái,女孩,happy girl,fille heureuse,fröhliche Mädchen,ragazza felice,gelukkige meisje,счастливая девушка,cô gái vui vẻ,快乐的女孩,I saw the happy girl,J'ai vu la fille heureuse,Ich sah das fröhliche Mädchen,Ho visto la ragazza felice,Ik zag het gelukkige meisje,Я увидел счастливую девушку,Tôi đã thấy cô gái vui vẻ,我看見了快乐的女孩,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
warm,chaud,warmen,caldo,warme,тёплую,ấm áp,温暖的,glove,gant,Handschuh,guanto,handschoen,перчатку,găng tay,手套,warm glove,gant chaud,warmen Handschuh,guanto caldo,warme handschoen,теплая перчатка,găng tay ấm áp,温暖的手套,I saw the warm glove,J'ai vu les gant chaud,Ich sah den warmen Handschuh,Ho visto il guanto caldo,Ik zag de warme handschoen,Я увидел тёплую перчатку,Tôi đã thấy đôi găng tay ấm áp,我看見了温暖的手套,I saw the,J'ai vu les,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
white,blanche,weiße,bianca,witte,белую,trắng,白,goat,chèvre,Ziege,capra,geit,козу,dê,山羊,white goat,chèvre blanche,weiße Ziege,capra bianca,witte geit,белая коза,dê trắng,白山羊,I saw the white goat,J'ai vu la chèvre blanche,Ich sah die weiße Ziege,Ho visto la capra bianca,Ik zag de witte geit,Я увидел белую козу,Tôi đã thấy con dê trắng,我看見了白山羊,I saw the,J'ai vu la,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy con,我看見了
loaded,chargé,geladene,carica,geladen,заряженный,đã lên đạn,上膛的,gun,fusil,Waffe,pistola,geweer,пистолет,súng,枪,loaded gun,fusil chargé,geladene Waffe,pistola carica,geladen geweer,заряженный пистолет,súng đã lên đạn,上膛的枪,I saw the loaded gun,J'ai vu le fusil chargé,Ich sah die geladene Waffe,Ho visto la pistola carica,Ik zag het geladen geweer,Я увидел заряженный пистолет,Tôi đã thấy khẩu súng đã lên đạn,我看見了上膛的枪,I saw the,J'ai vu le,Ich sah die,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy khẩu,我看見了
curly,bouclés,lockige,ricci,krullende,кудрявый,xoăn,卷,hair,cheveux,Haar,capelli,haar,волос,tóc,发,curly hair,cheveux bouclés,lockige Haar,capelli ricci,krullende haar,кудрявые волосы,tóc xoăn,卷发,I saw the curly hair,J'ai vu les cheveux bouclés,Ich sah das lockige Haar,Ho visto i capelli ricci,Ik zag het krullende haar,Я увидел кудрявый волос,Tôi đã thấy mái tóc xoăn,我看見了卷发,I saw the,J'ai vu les,Ich sah das,Ho visto i,Ik zag het,Я увидел,Tôi đã thấy mái,我看見了
heavy,lourd,schweren,pesante,zware,тяжёлый,nặng,重,hammer,marteau,Hammer,martello,hamer,молоток,búa,錘,heavy hammer,marteau lourd,schweren Hammer,martello pesante,zware hamer,тяжелый молоток,búa nặng,重錘,I saw the heavy hammer,J'ai vu le marteau lourd,Ich sah den schweren Hammer,Ho visto il martello pesante,Ik zag de zware hamer,Я увидел тяжёлый молоток,Tôi đã thấy cái búa nặng,我看見了重錘,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
clean,propre,saubere,pulita,schone,чистую,sạch,潔淨之,hand,main,Hand,mano,hand,руку,tay,手,clean hand,main propre,saubere Hand,mano pulita,schone hand,чистая рука,tay sạch,潔淨之手,I saw the clean hand,J'ai vu les main propre,Ich sah die saubere Hand,Ho visto la mano pulita,Ik zag de schone hand,Я увидел чистую руку,Tôi đã thấy đôi tay sạch,我看見了潔淨之手,I saw the,J'ai vu les,Ich sah die,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy đôi,我看見了
big,chapeau,großen,grande,grote,большую,rộng vành,宽檐,hat,grand,Hut,cappello,hoed,шляпу,mũ,帽,big hat,grand chapeau,großen Hut,cappello grande,grote hoed,большая шляпа,mũ rộng vành,宽檐帽,I saw the big hat,J'ai vu le grand chapeau,Ich sah den großen Hut,Ho visto il cappello grande,Ik zag de grote hoed,Я увидел большую шляпу,Tôi đã thấy cái mũ rộng vành,我看見了宽檐帽,I saw the,J'ai vu le,Ich sah den,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
bald,chauve,kahlen,calva,kale,лысую,trọc,光,head,tête,Kopf,testa,kop,голову,đầu,头,bald head,tête chauve,kahlen Kopf,testa calva,kale kop,лысая голова,đầu trọc,光头,I saw the bald head,J'ai vu la tête chauve,Ich sah den kahlen Kopf,Ho visto la testa calva,Ik zag de kale kop,Я увидел лысую голову,Tôi đã thấy cái đầu trọc,我看見了光头,I saw the,J'ai vu la,Ich sah den,Ho visto la,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
kind,tendre,gütige,gentile,goede,доброе,nhân hậu,善良的,heart,cœur,Herz,cuore,hart,сердце,trái tim,心,kind heart,cœur tendre,gütige Herz,cuore gentile,goede hart,доброе сердце,trái tim nhân hậu,善良的心,I saw the kind heart,J'ai vu le cœur tendre,Ich sah das gütige Herz,Ho visto il cuore gentile,Ik zag het goede hart,Я увидел доброе сердце,Tôi đã thấy trái tim nhân hậu,我看見了善良的心,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy,我看見了
sharp,acéré,scharfen,affilato,scherpe,острый,sắc,鋒利的,hook,crochet,Haken,uncino,haak,крюк,móc,鉤子,sharp hook,crochet acéré,scharfen Haken,uncino affilato,scherpe haak,острый крюк,móc sắc,鋒利的鉤子,I saw the sharp hook,J'ai vu le crochet acéré,Ich sah den scharfen Haken,Ho visto l'uncino affilato,Ik zag de scherpe haak,Я увидел острый крюк,Tôi đã thấy cái móc sắc,我看見了鋒利的鉤子,I saw the,J'ai vu le,Ich sah den,Ho visto l',Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
loud,bruyant,laute,rumoroso,luide,громкий,to,响亮的,horn,klaxon,Horn,clacson,hoorn,рог,còi,喇叭,loud horn,klaxon bruyant,laute Horn,clacson rumoroso,luide hoorn,громкий рог,còi to,响亮的喇叭,I saw the loud horn,J'ai vu le klaxon bruyant,Ich sah das laute Horn,Ho visto il clacson rumoroso,Ik zag de luide hoorn,Я увидел громкий рог,Tôi đã thấy cái còi to,我看見了响亮的喇叭,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag de,Я увидел,Tôi đã thấy cái,我看見了
fast,rapide,schnelle,veloce,snelle,быструю,nhanh,疾驰的,horse,cheval,Pferd,cavallo,paard,лошадь,ngựa,骏马,fast horse,cheval rapide,schnelle Pferd,cavallo veloce,snelle paard,быстрая лошадь,ngựa nhanh,疾驰的骏马,I saw the fast horse,J'ai vu le cheval rapide,Ich sah das schnelle Pferd,Ho visto il cavallo veloce,Ik zag het snelle paard,Я увидел быструю лошадь,Tôi đã thấy con ngựa nhanh,我看見了疾驰的骏马,I saw the,J'ai vu le,Ich sah das,Ho visto il,Ik zag het,Я увидел,Tôi đã thấy con,我看見了
modern,moderne,moderne,moderno,moderne,современную,hiện đại,现代化的,hospital,hôpital,Krankenhaus,ospedale,ziekenhuis,больницу,bệnh viện,医院,modern hospital,hôpital moderne,moderne Krankenhaus,ospedale moderno,moderne ziekenhuis,современная больница,bệnh viện hiện đại,现代化的医院,I saw the modern hospital,J'ai vu l'hôpital moderne,Ich sah das moderne Krankenhaus,Ho visto l'ospedale moderno,Ik zag het moderne ziekenhuis,Я увидел современную больницу,Tôi đã thấy bệnh viện hiện đại,我看見了现代化的医院,I saw the,J'ai vu l',Ich sah das,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy,我看見了
pink,rose,rosa,rosa,roze,розовый,màu hồng,粉红色的,house,maison,Haus,casa,huis,дом,ngôi nhà,房子,pink house,maison rose,rosa Haus,casa rosa,roze huis,розовый дом,ngôi nhà màu hồng,粉红色的房子,I saw the pink house,J'ai vu la maison rose,Ich sah das rosa Haus,Ho visto la casa rosa,Ik zag het roze huis,Я увидел розовый дом,Tôi đã thấy ngôi nhà màu hồng,我看見了粉红色的房子,I saw the,J'ai vu la,Ich sah das,Ho visto la,Ik zag het,Я увидел,Tôi đã thấy,我看見了
remote,isolée,abgelegene,remota,afgelegen,отдалённый,xa xôi,偏远的,island,île,Insel,isola,eiland,остров,đảo,岛屿,remote island,île isolée,abgelegene Insel,isola remota,afgelegen eiland,отдаленный остров,đảo xa xôi,偏远的岛屿,I saw the remote island,J'ai vu l'île isolée,Ich sah die abgelegene Insel,Ho visto l'isola remota,Ik zag het afgelegen eiland,Я увидел отдалённый остров,Tôi đã thấy hòn đảo xa xôi,我看見了偏远的岛屿,I saw the,J'ai vu l',Ich sah die,Ho visto l',Ik zag het,Я увидел,Tôi đã thấy hòn,我看見了
