noun_ger,noun_eng,verb_ger,verb_eng,prefix,pres_1,pres_3,impf_1,impf_3,perf_ger,perf_eng,past_eng,cm,coll_freq,logdice,noun_freq
Präsident,president,töten,kill,,,,,tötete,getötet,killed,killed,Präsidenten zu töten,192,4.78,1089223
Präsident,president,führen,lead,,,,,führte,geführt,leaded,leaded,Präsidenten geführt,183,1.21,1089223
Präsident,president,überzeugen,convince,,,,,überzeugte,überzeugt,convinced,convinced,Präsidenten davon zu überzeugen,169,4.41,1089223
Präsident,president,kennen,know,,,,,kannte,gekannt,known,knew,Präsidenten kennt,164,1.4,1089223
Präsident,president,ermächtigen,empower,,,,,ermächtigte,ermächtigt,empowered,empowered,Präsidenten zu ermächtigen,163,6.79,1089223
Präsident,president,einladen,invite,,,,,"lud ein",eingeladen,invited,invited,Präsidenten eingeladen,159,4.61,1089223
Präsident,president,beauftragen,instruct,,,,,beauftragte,beauftragt,instructed,instructed,"beauftragt seinen Präsidenten , diese Entschließung",145,4.88,1089223
Präsident,president,schicken,send,,,,,schickte,geschickt,sent,sent,Präsidenten geschickt,142,2.58,1089223
Präsident,president,beschuldigen,accuse,,,,,beschuldigte,beschuldigt,accused,accused,Präsidenten beschuldigte,138,6.52,1089223
Präsident,president,retten,save,,,,,rettete,gerettet,saved,saved,Präsidenten zu retten,136,3.39,1089223
Präsident,president,anerkennen,recognise,,,,,erkannte an,anerkannt,recognised,recognised,Präsidenten anerkennen,124,4.38,1089223
Präsident,president,suchen,look for,,,,,suchte,gesucht,looked,looked,Präsidenten suchen,110,0.76,1089223
Präsident,president,erinnern,remind,,,,,erinnerte,erinnert,reminded,reminded,Präsidenten erinnern,107,3.07,1089223
Präsident,president,ersuchen,request,,,,,ersuchte,ersucht,requested,requested,Präsidenten des Rates der Internationalen Zivilluftfahrt-Organisation ersuchen,103,5.97,1089223
Präsident,president,beleidigen,insult,,,,,beleidigte,beleidigt,insulted,insulted,Präsidenten beleidigt,97,5.83,1089223
Präsident,president,ersetzen,replace,,,,,ersetzte,ersetzt,replaced,replaced,Präsidenten ersetzt,96,2.46,1089223
Präsident,president,schützen,protect,,,,,schützte,geschützt,protected,protected,Präsidenten zu schützen,95,2.06,1089223
Präsident,president,entheben,dismiss,,,,,enthob,enthoben,dismissed,dismissed,Präsidenten seines Amtes zu entheben,89,6.22,1089223
Präsident,president,übertragen,transfer,,,,,übertrug,übertragen,transferred,transferred,Präsidenten übertragen,87,2.28,1089223
Präsident,president,erschießen,shoot,,,,,erschoss,erschossen,shot,shot,Präsidenten zu erschießen,86,5.38,1089223
Präsident,president,einsetzen,appoint,,,,,setzte ein,eingesetzt,appointed,appointed,Präsidenten einzusetzen,86,1.65,1089223
Präsident,president,vorstellen,present,,,,,stellte vor,vorgestellt,presented,presented,Präsidenten vorstellen,81,2.07,1089223
Präsident,president,demonstrieren,demonstrate,,,,,demonstrierte,demonstriert,demonstrated,demonstrated,Präsidenten demonstriert,79,4.42,1089223
Präsident,president,ablösen,replace,,,,,löste ab,abgelöst,replaced,replaced,Präsidenten abzulösen,76,4.88,1089223
Präsident,president,ehren,honour,,,,,ehrte,geehrt,honoured,honoured,Präsidenten geehrt,76,4.34,1089223
Präsident,president,verteidigen,defend,,,,,verteidigte,verteidigt,defended,defended,Präsidenten verteidigen,76,3.35,1089223
Präsident,president,darstellen,present,,,,,stellte dar,dargestellt,presented,presented,Präsidenten darstellen,76,1.16,1089223
Präsident,president,angreifen,attack,,,,,griff an,angegriffen,attacked,attacked,Präsidenten angegriffen,74,4.06,1089223
Mann,man,bringen,bring,,,,,brachte,gebracht,brought,brought,Mann zu bringen,18274,6.75,5419545
Mann,man,sehen,see,,,,,sah,gesehen,seen,saw,Mann gesehen,17563,6.9,5419545
Mann,man,finden,find,,,,,fand,gefunden,found,found,Mann zu finden,14793,5.6,5419545
Mann,man,kennen,know,,,,,kannte,gekannt,known,knew,Mann kennen,11103,7.19,5419545
Mann,man,treffen,meet,,,,,traf,getroffen,met,met,Mann treffen,6822,7.0,5419545
Mann,man,kennenlernen,get to know,,,,,lernte kennen,kennengelernt,got,got,Mann kennengelernt,6004,7.87,5419545
Mann,man,heiraten,marry,,,,,heiratete,geheiratet,married,married,Mann heiraten,5087,8.18,5419545
Mann,man,fragen,ask,,,,,"fragte",gefragt,asked,asked,Mann fragen,4766,7.44,5419545
Mann,man,töten,kill,,,,,tötete,getötet,killed,killed,Mann getötet,3815,7.51,5419545
Mann,man,halten,hold,,,,,hielt,gehalten,held,held,Mann gehalten,3631,5.06,5419545
Mann,man,verlassen,leave,,,,,verließ,verlassen,left,left,Mann verlassen,2822,5.89,5419545
Mann,man,schicken,send,,,,,schickte,geschickt,sent,sent,Mann geschickt,2752,6.19,5419545
Mann,man,erkennen,recognise,,,,,erkannte,erkannt,recognised,recognised,Mann erkennen,2406,5.59,5419545
Mann,man,beobachten,watch,,,,,beobachtete,beobachtet,watched,watched,Mann beobachtet,2327,6.38,5419545
Mann,man,bekommen,get,,,,,bekam,bekommen,got,got,Mann bekommen,2156,3.84,5419545
Mann,man,holen,take,,,,,holte,geholt,taken,took,Mann holen,1920,5.48,5419545
Mann,man,festnehmen,arrest,,,,,nahm fest,festgenommen,arrested,arrested,Mann festgenommen,1826,6.88,5419545
Mann,man,erschießen,shoot,,,,,erschoss,erschossen,shot,shot,Mann erschossen,1638,6.68,5419545
Mann,man,nennen,name,,,,,nannte,genannt,named,named,Mann nennen,1635,5.15,5419545
Mann,man,rufen,call,,,,,rief,gerufen,called,called,Mann rufen,1622,5.89,5419545
Mann,man,schlagen,hit,,,,,schlug,geschlagen,hit,hit,Mann geschlagen,1615,5.59,5419545
Mann,man,retten,save,,,,,rettete,gerettet,saved,saved,Mann zu retten,1540,5.83,5419545
Mann,man,setzen,seat,,,,,setzte,gesetzt,seated,seated,Mann gesetzt,1516,3.97,5419545
Mann,man,entdecken,discover,,,,,entdeckte,entdeckt,discovered,discovered,Mann entdeckt,1497,5.04,5419545
Mann,man,verführen,seduce,,,,,verführte,verführt,seduced,seduced,Mann verführen,1459,6.55,5419545
Mann,man,wählen,choose,,,,,wählte,gewählt,chosen,chose,Mann wählen,1326,4.73,5419545
Mann,man,hören,hear,,,,,hörte,gehört,heard,heard,Mann hören,1318,5.11,5419545
Mann,man,überzeugen,convince,,,,,überzeugte,überzeugt,convinced,convinced,Mann überzeugen,1286,5.88,5419545
Mann,man,besuchen,visit,,,,,besuchte,besucht,visited,visited,Mann besuchen,1106,4.62,5419545
Mann,man,umbringen,kill,,,,,brachte um,umgebracht,killed,killed,Mann umgebracht,1026,6.01,5419545
Mann,man,richten,judge,,,,,richtete,gerichtet,judged,judged,Mann gerichtet,1018,4.97,5419545
Mann,man,erwarten,expect,,,,,erwartete,erwartet,expected,expected,Mann erwartet,1016,4.73,5419545
Mann,man,bemerken,notice,,,,,bemerkte,bemerkt,noticed,noticed,Mann bemerkt,998,5.73,5419545
Mann,man,vorstellen,present,,,,,stellte vor,vorgestellt,presented,presented,Mann vorstellen,990,4.9,5419545
Mann,man,verletzen,hurt,,,,,verletzte,verletzt,hurt,hurt,Mann schwer verletzt,988,5.59,5419545
Mann,man,ermorden,murder,,,,,ermordete,ermordet,murdered,murdered,Mann ermordet,930,5.85,5419545
Mann,man,befreien,free,,,,,befreite,befreit,freed,freed,Mann zu befreien,910,5.59,5419545
Mann,man,bezeichnen,label,,,,,bezeichnete,bezeichnet,labelled,labelled,Mann bezeichnet,885,4.9,5419545
Mann,man,darstellen,portray,,,,,stellte dar,dargestellt,portrayed,portrayed,Mann darstellt,877,4.19,5419545
Mann,man,erinnern,remind,,,,,erinnerte,erinnert,reminded,reminded,Mann erinnern,852,5.0,5419545
Mann,man,werfen,throw,,,,,warf,geworfen,thrown,threw,Mann geworfen,850,4.25,5419545
Mann,man,küssen,kiss,,,,,küsste,geküsst,kissed,kissed,Mann geküsst,833,5.68,5419545
Mann,man,behandeln,treat,,,,,behandelte,behandelt,treated,treated,Mann behandelt,764,4.86,5419545
Frau,woman,sehen,see,,,,,sah,gesehen,seen,saw,Frau gesehen,15356,6.68,7980369
Frau,woman,finden,find,,,,,fand,gefunden,found,found,Frau zu finden,14682,5.57,7980369
Frau,woman,bringen,bring,,,,,brachte,gebracht,brought,brought,Frau zu bringen,11682,6.08,7980369
Frau,woman,kennen,know,,,,,kannte,gekannt,known,knew,Frau kennen,11285,7.15,7980369
Frau,woman,kennenlernen,get to know,,,,,lernte kennen,kennengelernt,got,got,Frau kennengelernt,6916,7.92,7980369
Frau,woman,nehmen,take,,,,,nahm,genommen,taken,took,Frau nehmen,6196,5.02,7980369
Frau,woman,heiraten,marry,,,,,heiratete,geheiratet,married,married,Frau heiraten,6022,8.2,7980369
Frau,woman,fragen,ask,,,,,"fragte",gefragt,asked,asked,Frau fragen,4430,7.18,7980369
Frau,woman,halten,hold,,,,,hielt,gehalten,held,held,Frau gehalten,3169,4.82,7980369
Frau,woman,töten,kill,,,,,tötete,getötet,killed,killed,Frau getötet,3042,7.0,7980369
Frau,woman,schlagen,hit,,,,,schlug,geschlagen,hit,hit,Frau geschlagen,2966,6.35,7980369
Frau,woman,vergewaltigen,rape,,,,,vergewaltigte,vergewaltigt,raped,raped,Frau vergewaltigt,2848,7.29,7980369
Frau,woman,bekommen,get,,,,,bekam,bekommen,got,got,Frau bekommen,2767,4.17,7980369
Frau,woman,verlieren,lose,,,,,verlor,verloren,lost,lost,Frau verloren,2532,5.4,7980369
Frau,woman,verlassen,leave,,,,,verließ,verlassen,left,left,Frau verlassen,2191,5.44,7980369
Frau,woman,retten,save,,,,,rettete,gerettet,saved,saved,Frau zu retten,1814,5.92,7980369
Frau,woman,holen,take,,,,,holte,geholt,taken,took,Frau holen,1607,5.12,7980369
Frau,woman,ermorden,murder,,,,,ermordete,ermordet,murdered,murdered,Frau ermordet,1520,6.32,7980369
Frau,woman,schicken,send,,,,,schickte,geschickt,sent,sent,Frau geschickt,1480,5.19,7980369
Frau,woman,nennen,name,,,,,nannte,genannt,named,named,Frau nennen,1427,4.87,7980369
Frau,woman,beobachten,watch,,,,,beobachtete,beobachtet,watched,watched,Frau beobachtet,1422,5.53,7980369
Frau,woman,hören,hear,,,,,hörte,gehört,heard,heard,Frau hören,1417,5.11,7980369
Frau,woman,besuchen,visit,,,,,besuchte,besucht,visited,visited,Frau zu besuchen,1408,4.88,7980369
Frau,woman,befreien,free,,,,,befreite,befreit,freed,freed,Frau zu befreien,1350,5.94,7980369
Frau,woman,umbringen,kill,,,,,brachte um,umgebracht,killed,killed,Frau umgebracht,1293,6.1,7980369
Frau,woman,erkennen,recognise,,,,,erkannte,erkannt,recognised,recognised,Frau erkennen,1289,4.6,7980369
Frau,woman,darstellen,portray,,,,,stellte dar,dargestellt,portrayed,portrayed,Frau darstellt,1273,4.65,7980369
Frau,woman,kaufen,buy,,,,,kaufte,gekauft,bought,bought,Frau gekauft,1199,4.14,7980369
Frau,woman,entdecken,discover,,,,,entdeckte,entdeckt,discovered,discovered,Frau entdeckt,1180,4.61,7980369
Frau,woman,betrügen,cheat on,,,,,betrog,betrogen,cheated,cheated,Frau betrogen,1167,5.97,7980369
